Date,Open,High,Low,Close,Adj Close,Volume,symbol,return,SMA_5,SMA_15,SMA_ratio,SMA5_Volume,SMA15_Volume,SMA_Volume_Ratio,prev_close,TR,prev_high,prev_low,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,Diff,Up,Down,avg_5up,avg_5down,avg_15up,avg_15down,RS_5,RS_15,RSI_5,RSI_15,RSI_ratio,5Ewm,15Ewm,MACD,15MA,SD,upperband,lowerband,RC,Target,sentiment_score
6/9/23,181.5,182.2299957,180.6300049,180.9600067,180.4781952,48870700,AAPL,0.002159824,179.628006,176.9940013,0.985336336,69565020,62692660,1.10961985,180.5700073,1.659988403,180.8399963,177.4600067,177.3200073,184.9499969,170.5200043,184.9499969,47.70647889,72.34932599,33.44649869,55.56440911,0.601941049,0.38999939,0.38999939,0,0.627999878,0.625997925,0.846000163,0.451999919,1.003198019,1.871682113,50.07982283,65.17720414,0.768364085,179.8095445,177.4483751,-2.361169424,176.9940013,3.294279878,183.582561,170.4054415,0.033761803,2.614878426,0.383439394
6/12/23,181.2700043,183.8899994,180.9700012,183.7899933,183.3006592,54274900,AAPL,0.01563874,180.4700043,177.5693339,0.983927133,56030700,62592826.67,0.895161682,180.9600067,2.929992676,182.2299957,180.6300049,177.3200073,183.8899994,170.5200043,184.9499969,98.47783525,91.9611625,45.95829907,56.83646074,0.808605928,2.829986572,2.829986572,0,1.193997192,0.351998901,1.02733256,0.451999919,3.392048065,2.272860056,77.23157886,69.44568411,1.112114883,181.1363608,178.2410774,-2.895283402,177.5693339,3.681893578,184.9331211,170.2055467,0.049269179,1.159734727,0.383439394
6/13/23,182.8000031,184.1499939,182.4400024,183.3099976,182.8219299,54929100,AAPL,-0.002611653,181.2900024,178.1766673,0.982826769,54046840,63350040,0.853146107,183.7899933,1.709991455,183.8899994,180.9700012,177.3200073,184.1499939,170.5200043,184.9499969,87.70134715,88.6347871,57.51563449,58.46211392,0.98381038,-0.479995728,0,0.479995728,1.193997192,0.373999023,1.02733256,0.419999186,3.192514198,2.446034645,76.1479639,70.9811391,1.072791517,181.8609064,178.8746924,-2.986213971,178.1766673,3.834605072,185.8458774,170.5074571,0.052296216,0.894366272,0.383439394
6/14/23,183.3699951,184.3899994,182.0200043,183.9499969,183.4602356,57462900,AAPL,0.00349135,182.5160004,179.0026672,0.980750547,53150500,63797746.67,0.833109362,183.3099976,2.369995117,184.1499939,182.4400024,177.4600067,184.3899994,170.5200043,184.9499969,93.65075171,93.06998955,74.02629812,63.43246648,1.167009612,0.63999939,0.63999939,0,1.32199707,0.095999146,1.069999186,0.243999227,13.77092539,4.385256461,93.22994346,81.43078222,1.144898046,182.5572699,179.5091055,-3.048164427,179.0026672,3.636870939,186.2764091,171.7289254,0.072219629,0,0.383439394
6/15/23,183.9600067,186.5200043,183.7799988,186.0099945,185.5147552,65433200,AAPL,0.011198682,183.6039978,179.9473338,0.980083963,56194160,65150393.33,0.862529866,183.9499969,2.740005493,184.3899994,182.0200043,180.6300049,186.5200043,171.6900024,186.5200043,91.34108967,96.56095952,83.77550054,68.02273202,1.231580944,2.059997559,2.059997559,0,1.183996582,0.095999146,1.188665771,0.243999227,12.33340751,4.871596466,92.50004172,82.96885684,1.114876657,183.7081781,180.3217166,-3.3864615,179.9473338,3.480440048,186.9082139,172.9864537,0.082460419,0.14459609,0.383439394
6/16/23,186.7299957,186.9900055,184.2700043,184.9199982,184.4276428,101235600,AAPL,-0.00585988,184.3959961,180.7426666,0.980187588,66667140,68162213.33,0.978065951,186.0099945,2.720001221,186.5200043,183.7799988,180.9700012,186.9900055,173.1100006,186.9900055,65.61452068,85.08640781,87.35710889,69.59180537,1.25527867,-1.089996338,0,1.089996338,1.105996704,0.313998413,1.111998494,0.316665649,3.522300298,3.511585474,77.88735966,77.83484308,1.000674718,184.1121181,180.8965018,-3.215616326,180.7426666,3.121619774,186.9859062,174.4994271,0.068963479,1.230946786,0.383439394
6/20/23,184.4100037,186.1000061,184.4100037,185.0099945,184.5174103,49799100,AAPL,0.000486677,184.6399963,181.3813334,0.982351262,65771980,67826486.67,0.969709375,184.9199982,1.690002441,186.9900055,184.2700043,182.0200043,186.9900055,176.5700073,186.9900055,60.16075453,80.99797184,79.69369275,67.36761643,1.182967381,0.089996338,0.089996338,0,0.557998657,0.313998413,0.955332438,0.316665649,1.777074768,3.01684897,63.99088669,75.10486435,0.852020535,184.4114103,181.4106884,-3.000721865,181.3813334,2.931239303,187.243812,175.5188548,0.054608689,0.200113785,0.383439394
6/21/23,184.8999939,185.4100037,182.5899963,183.9600067,183.4702148,49515700,AAPL,-0.005675303,184.7699982,181.8253337,0.984063081,64689300,67396573.33,0.959830698,185.0099945,2.820007324,186.1000061,184.4100037,182.0200043,186.9900055,176.7599945,186.9900055,39.03424477,70.38127541,69.96027227,64.63341944,1.082416386,-1.049987793,0,1.049987793,0.557998657,0.427996826,0.83066508,0.386664836,1.303744848,2.148281931,56.59241514,68.23664393,0.829355195,184.2609424,181.7293532,-2.531589228,181.8253337,2.768774215,187.3628821,176.2877852,0.037563472,2.351143973,0.383439394
6/22/23,183.7400055,187.0500031,183.6699982,187,186.5021057,51245300,AAPL,0.016525294,185.3799988,182.4753337,0.984331292,63445780,64171240,0.988694936,183.9600067,3.380004883,185.4100037,182.5899963,182.5899963,187.0500031,176.9299927,187.0500031,98.87885703,99.5058992,71.00589333,66.14418482,1.073501677,3.039993286,3.039993286,0,1.037997437,0.427996826,1.033331299,0.383331299,2.42524564,2.695661173,70.80501356,72.94124236,0.970713019,185.1739616,182.388184,-2.785777573,182.4753337,2.762394701,188.0001231,176.9505443,0.055007052,1.994070001,0.383439394
6/23/23,185.5500031,187.5599976,185.0099945,186.6799927,186.1829529,53079300,AAPL,-0.001711269,185.5139984,182.9146667,0.985988488,60975000,63116406.67,0.966072107,187,2.550003052,187.0500031,183.6699982,182.5899963,187.5599976,177.3200073,187.5599976,82.29366868,91.40619412,69.19640914,64.98748658,1.064765123,-0.320007324,0,0.320007324,0.625997925,0.491998291,0.84399821,0.40466512,1.272357925,2.085670761,55.99284827,67.59213547,0.828392947,185.675972,182.9246601,-2.75131185,182.9146667,2.877569196,188.6698051,177.1595284,0.036592795,1.477275855,0.383439394
